Nombre;Latitud;Longitud
VILLA LAGO RIVADAVIA;-42,56195994;-71,59802269
LA PUERTA;-30,89260512;-63,2532712
PINTOS;-30,95659088;-64,6119074
EL ROSARIO;-30,99207497;-64,44722748
LA CUMBRE;-30,97924615;-64,49090871
VILLA TERCERA;-26,89146927;-65,01318221
EX INGENIO LOS RALOS;-26,87709985;-64,97489875
LAS MERCEDES;-26,91002464;-64,99814606
VILLA RECASTE;-26,88680841;-65,0074356
CAMPO LA FLOR;-26,95146;-65,01144
RUTA 5 KM 132;-34,80257307;-59,73577375
SUIPACHA;-34,77126178;-59,68791818
GENERAL RIVAS;-34,61003707;-59,75042342
LOS CARDALES;-34,8524384;-59,727194
CUARTEL VIII;-34,78294145;-59,55660668
ESTACION LA NEGRA;-34,6532056;-59,8279581
LA DULCE;-34,89617288;-59,61802006
CUARTEL IX;-34,8439555;-59,5955827
CUARTEL IV;-34,7224296;-59,7512909
FORTIN ARENALES;-28,8541597;-59,699156
CAMPO BONAZOLA;-28,79669348;-59,69184085
LAS TAPERITAS;-28,8612678;-59,7337052
LANTERI;-28,84297062;-59,63792877
CAMPO SIETE PROVINCIAS;-28,8881991;-59,76619972
FLOR DE ORO;-28,92052269;-59,65719605
LA BRITANICA;-28,84311627;-59,56635583
DIVISADERO;-26,10228924;-66,01550671
YACOCHUYA;-26,04257335;-66,01825592
EL PASO;-25,98903084;-65,78398895
LAS CONCHAS;-25,99422315;-65,82933223
CAFAYATE;-26,07653844;-65,98628973
SANTA BARBARA;-25,92833565;-65,71896432
TOLOMBOM;-26,20295747;-65,94679577
OJEDA;-35,30682777;-64,00547256
ALTA ITALIA;-35,33385956;-64,11824054
CAMPO GALLO;-26,58141906;-62,82620032
CAITA TORO;-40,28615189;-66,82636261
CHANQUIN;-40,72539139;-66,31420136
SAN ANTONIO;-26,1678144;-58,21054298
ISLA OCA;-26,21432133;-58,1961929
COLONIA FORMOSA;-26,17588806;-58,23164749
LA COLONIA;-26,15792722;-58,18965113
FORMOSA;-26,18282231;-58,17339306
GARRIDO;-37,84187661;-58,75523467
LAVALLE;-38,1041853;-58,9135956
EL EDEN;-38,06790543;-58,40255358
LA LOMA;-37,9713408;-58,5655521
PIERES;-38,39623062;-58,67058001
EL MORO;-38,10955893;-58,57453591
LA GUITARRA;-37,85134506;-59,00797273
NAPALEOFU;-37,62675583;-58,74992627
LA ALIANZA;-38,27775192;-58,56661226
SANTA MARIA;-38,2341558;-58,5681713
EL PAMPERO;-37,9636901;-58,6886606
PUERTA DEL DIABLO;-37,8398293;-58,5715713
LA FLORESTA;-38,1713501;-58,4334892
ARENAS VERDES;-38,54637824;-58,55732211
LA MALACARA;-38,2403704;-58,4298848
SAN PASCUAL;-38,4257932;-58,4589128
DOS NACIONES;-37,7714343;-58,6447231
SAN MANUEL;-37,7892829;-58,84864767
LA PROVIDENCIA;-37,94847107;-58,92501451
LAS TOSCAS;-38,3291054;-58,3463982
LAS NUTRIAS;-38,0791707;-58,4533151
LAHORE;-38,0559666;-58,9705728
TOME Y TRAIGA;-38,1158516;-58,8521239
LOBERIA;-38,16527339;-58,78223033
EL LENGUARAZ;-38,06705851;-58,85840957
LA BODEGA;-37,74117279;-58,93902588
TAMANGUEYU;-38,20101124;-58,7373144
LICENCIADO MATIENZO;-37,90979271;-58,91209659
SAN ANTONIO;-37,9550232;-59,0866501
MOROMAR;-38,4179912;-58,3813524
ALTO EL BOLSON;-26,94426;-66,73487
LAS CUEVAS;-27,0183;-66,66805
CORRAL BLANCO;-26,49624358;-66,91953963
LAGUNA BLANCA;-26,59043061;-66,930476
BARRANCA LARGA;-26,93667259;-66,74737367
VILLA VIL;-27,07108068;-66,8307697
SAN IGNACIO (LOTEO VELEZ CRESPO);-32,09945127;-64,53375918
SANTA MONICA;-32,06659514;-64,57910186
SANTA ROSA DE CALAMUCHITA;-32,07315738;-64,54473238
ARROYO SECO;-32,09286214;-64,56387845
CAMPANA MAHUIDA;-41,57950211;-66,47671509
ARROYO LOS BERROS;-41,43725364;-66,09507732
LAS HERAS;-46,54245538;-68,93417732
COLONIA LA SARITA;-31,65286977;-58,97233871
